10 5 cm -f.wav,10 9 cm -1.wav,5 8 cm -1.wav,6 2 cm -f DENOISE.wav,6 2 cm -f.wav,6 7 cm -f.wav,7 5 cm -1 DENOISE.wav,7 9 cm -f DENOISE.wav,8 7 cm -f DENOISE.wav,8 7 cm -f.wav,9 3 cm -1 DENOISE.wav,9 3 cm -1.wav,9 4 cm -f.wav,,10 5 cm -f.wav,10 9 cm -1.wav,5 8 cm -1.wav,6 2 cm -f DENOISE.wav,6 2 cm -f.wav,6 7 cm -f.wav,7 5 cm -1 DENOISE.wav,7 9 cm -f DENOISE.wav,8 7 cm -f DENOISE.wav,8 7 cm -f.wav,9 3 cm -1 DENOISE.wav,9 3 cm -1.wav,9 4 cm -f.wav
3.789458333,3.701125,6.214208333,5.949458333,5.949458333,5.237958333,5.027375,4.943708333,4.851208333,4.851208333,4.118958333,4.032291667,4.168208333,,0.137333333,,,,,,,,,0.177833333,,,0.154583333
3.926291667,3.830541667,6.453708333,6.173541667,6.173541667,5.437125,5.204208333,5.131541667,5.036625,5.036625,4.219625,4.118958333,4.323875,,0.136833333,,,,,,,,,0.185416667,,,0.155666667
4.064625,3.956375,6.692958333,6.408291667,6.408291667,5.636541667,5.380541667,5.318625,5.220541667,5.220541667,4.405791667,4.219625,4.476625,,0.138333333,,,,,,,,,0.183916667,,,0.15275
4.204291667,4.084541667,6.932458333,6.627958333,6.627958333,5.835791667,5.555875,5.509208333,5.407625,5.407625,4.594208333,4.306125,4.629041667,,0.139666667,,,,,,,,,0.187083333,,,0.152416667
4.336375,4.217375,7.172791667,6.860291667,6.860291667,6.034958333,5.731458333,5.696041667,5.586208333,5.586208333,4.671458333,4.405791667,4.782708333,,0.132083333,,,,,,,,,0.178583333,,,0.153666667
4.478625,4.342708333,7.412291667,7.074041667,7.074041667,6.234125,5.908208333,5.880875,5.759875,5.759875,4.779375,4.594208333,4.938625,,0.14225,,,,,,,,,0.173666667,,,0.155916667
4.616541667,4.468041667,7.651875,7.303708333,7.303708333,6.433541667,6.084541667,6.069875,5.944958333,5.944958333,4.861958333,4.671458333,5.091541667,,0.137916667,,,,,,,,,0.185083333,,,0.152916667
4.752958333,4.602041667,7.891375,7.531625,7.531625,6.632958333,6.260541667,6.260791667,6.132708333,6.132708333,4.965458333,4.779375,5.243541667,,0.136416667,,,,,,,,,0.18775,,,0.152
4.888458333,4.728708333,8.130958333,7.765875,7.765875,6.832291667,6.436541667,6.447041667,6.306541667,6.306541667,5.055541667,4.965458333,5.396041667,,0.1355,,,,,,,,,0.173833333,,,0.1525
5.020958333,4.863958333,8.370541667,7.984708333,7.984708333,7.031708333,6.613375,6.633291667,6.484875,6.484875,5.152458333,5.055541667,5.550208333,,0.1325,,,,,,,,,0.178333333,,,0.154166667
5.159791667,4.987875,8.610541667,8.216958333,8.216958333,7.230875,6.789458333,6.823958333,6.671125,6.671125,5.341125,5.152458333,5.706375,,0.138833333,,,,,,,,,0.18625,,,0.156166667
5.301041667,5.120291667,8.850041667,8.426375,8.426375,7.430125,6.964791667,7.013708333,6.858375,6.858375,5.526541667,5.341125,5.859041667,,0.14125,,,,,,,,,0.18725,,,0.152666667
5.435708333,5.245291667,9.090041667,8.648041667,8.648041667,7.629541667,7.142208333,7.202375,7.041125,7.041125,5.713541667,5.526541667,6.010291667,,0.134666667,,,,,,,,,0.18275,,,0.15125
5.568291667,5.376958333,9.330125,8.883041667,8.883041667,7.829041667,7.318041667,7.393625,7.228375,7.228375,5.810541667,5.713541667,6.161791667,,0.132583333,,,,,,,,,0.18725,,,0.1515
5.707291667,5.505041667,9.569875,9.106125,9.106125,8.028291667,7.493625,7.581958333,7.399458333,7.399458333,5.903875,5.810541667,6.312791667,,0.139,,,,,,,,,0.171083333,,,0.151
5.848708333,5.639208333,9.809958333,9.339958333,9.339958333,8.228041667,7.670958333,7.770125,7.578375,7.578375,6.087541667,5.903875,6.469541667,,0.141416667,,,,,,,,,0.178916667,,,0.15675
5.981375,5.763291667,10.049875,9.572125,9.572125,8.427375,7.847375,7.961541667,7.764458333,7.764458333,6.274791667,6.087541667,6.620875,,0.132666667,,,,,,,,,0.186083333,,,0.151333333
6.119208333,5.887708333,10.29004167,9.804291667,9.804291667,8.626708333,8.022625,8.148458333,7.937541667,7.937541667,6.464958333,6.274791667,6.768958333,,0.137833333,,,,,,,,,0.173083333,,,0.148083333
6.260458333,6.127791667,10.530125,10.012625,10.012625,8.826458333,8.200041667,8.336208333,8.115625,8.115625,6.648875,6.464958333,6.923125,,0.14125,,,,,,,,,0.178083333,,,0.154166667
6.391958333,6.255708333,10.77070833,10.23470833,10.23470833,9.025958333,8.376958333,8.527458333,8.299375,8.299375,6.836041667,6.648875,7.078541667,,0.1315,,,,,,,,,0.18375,,,0.155416667
6.528708333,6.383625,11.01054167,10.47029167,10.47029167,9.225041667,8.552291667,8.713458333,8.486791667,8.486791667,7.026291667,6.836041667,7.230958333,,0.13675,,,,,,,,,0.187416667,,,0.152416667
6.666875,6.518041667,11.251375,10.699875,10.699875,9.424708333,8.729125,8.898958333,8.670958333,8.670958333,7.121541667,7.026291667,7.382041667,,0.138166667,,,,,,,,,0.184166667,,,0.151083333
6.804958333,6.643791667,11.491625,10.934875,10.934875,9.624291667,8.906791667,9.089541667,8.858458333,8.858458333,7.208958333,7.121625,7.534625,,0.138083333,,,,,,,,,0.1875,,,0.152583333
6.942208333,6.778375,11.731625,11.16570833,11.16570833,9.823708333,9.082625,9.280541667,9.032708333,9.032708333,7.396708333,7.208958333,7.689041667,,0.13725,,,,,,,,,0.17425,,,0.154416667
7.079041667,6.905958333,11.971875,11.40020833,11.40020833,10.023125,9.258791667,9.471958333,9.211125,9.211125,7.500208333,7.396708333,7.841708333,,0.136833333,,,,,,,,,0.178416667,,,0.152666667
7.218125,7.040958333,12.21245833,11.62304167,11.62295833,10.22254167,9.436291667,9.663125,9.397875,9.397875,7.584625,7.500208333,7.992208333,,0.139083333,,,,,,,,,0.18675,,,0.1505
7.358375,7.160208333,12.45254167,11.856625,11.856625,10.422125,9.613791667,9.854375,9.584791667,9.584791667,7.774625,7.584625,8.145125,,0.14025,,,,,,,,,0.186916667,,,0.152916667
7.494208333,7.289875,12.69295833,12.09154167,12.09154167,10.621875,9.790458333,10.04020833,9.771375,9.771375,7.861791667,7.774625,8.300041667,,0.135833333,,,,,,,,,0.186583333,,,0.154916667
7.635375,7.424791667,12.933375,12.30070833,12.30070833,10.82129167,9.967458333,10.225625,9.958208333,9.958208333,7.954541667,7.861791667,8.453708333,,0.141166667,,,,,,,,,0.186833333,,,0.153666667
7.768625,7.553291667,13.173875,12.524125,12.524125,11.02070833,10.143875,10.41595833,10.14454167,10.14454167,8.141375,7.954541667,8.604875,,0.13325,,,,,,,,,0.186333333,,,0.151166667
7.913125,7.686791667,13.41420833,12.759375,12.759375,11.22020833,10.32070833,10.60729167,10.332375,10.332375,8.236375,8.141375,8.757125,,0.1445,,,,,,,,,0.187833333,,,0.15225
8.043375,7.813041667,13.65495833,12.99395833,12.99395833,11.419875,10.49770833,10.79704167,10.515625,10.515625,8.330541667,8.236375,8.911208333,,0.13025,,,,,,,,,0.18325,,,0.154083333
8.188791667,7.937291667,13.895375,13.20304167,13.20304167,11.61920833,10.67454167,10.986375,10.702625,10.702625,8.519708333,8.330541667,9.065708333,,0.145416667,,,,,,,,,0.187,,,0.1545
8.317625,8.058958333,14.13604167,13.42670833,13.42670833,11.818625,10.85079167,11.17754167,10.874125,10.874125,8.709791667,8.519708333,9.220041667,,0.128833333,,,,,,,,,0.1715,,,0.154333333
8.458291667,8.192625,14.37679167,13.662125,13.662125,12.018125,11.02845833,11.369375,11.052875,11.052875,8.886458333,8.709791667,9.373625,,0.140666667,,,,,,,,,0.17875,,,0.153583333
8.592375,8.314291667,14.61745833,13.888625,13.89504167,12.21770833,11.20570833,11.55595833,11.23904167,11.23904167,9.074708333,8.886458333,9.526541667,,0.134083333,,,,,,,,,0.186166667,,,0.152916667
8.731625,8.443791667,14.85820833,13.899375,14.11579167,12.41820833,11.38195833,11.74129167,11.42020833,11.42020833,9.255125,9.074708333,9.679708333,,0.13925,,,,,,,,,0.181166667,,,0.153166667
8.874625,8.576708333,15.098875,14.13529167,14.197375,12.61670833,11.559125,11.93170833,11.60420833,11.60420833,9.293541667,9.255125,9.833958333,,0.143,,,,,,,,,0.184,,,0.15425
9.007458333,8.701541667,15.33970833,14.36729167,14.295375,12.816375,11.73620833,12.123125,11.79204167,11.79204167,9.442375,9.293541667,9.988875,,0.132833333,,,,,,,,,0.187833333,,,0.154916667
9.152625,8.832125,15.58045833,14.59829167,14.31204167,13.01670833,11.91295833,12.311875,11.97120833,11.97120833,9.532375,9.442375,10.14370833,,0.145166667,,,,,,,,,0.179166667,,,0.154833333
9.282875,8.966875,15.82129167,14.81720833,14.340375,13.21554167,12.090625,12.50045833,12.15245833,12.15245833,9.618458333,9.532375,10.29670833,,0.13025,,,,,,,,,0.18125,,,0.153
9.428375,9.093708333,16.06229167,15.02895833,14.466875,13.414875,12.26720833,12.69204167,12.34004167,12.34004167,9.806541667,9.618458333,10.447625,,0.1455,,,,,,,,,0.187583333,,,0.150916667
9.559041667,9.228708333,16.30329167,15.254375,14.52745833,13.615375,12.443875,12.87945833,12.51420833,12.51420833,9.991625,9.806541667,10.599625,,0.130666667,,,,,,,,,0.174166667,,,0.152
9.702375,9.358375,16.54395833,15.490125,14.56870833,13.81420833,12.62179167,13.066375,12.69345833,12.69345833,10.17979167,9.991625,10.75354167,,0.143333333,,,,,,,,,0.17925,,,0.153916667
9.835291667,9.487625,16.78545833,15.732625,14.585375,14.01470833,12.79829167,13.25704167,12.880375,12.880375,10.37045833,10.17979167,10.90770833,,0.132916667,,,,,,,,,0.186916667,,,0.154166667
9.980458333,9.613458333,17.02620833,15.96595833,14.67654167,14.21304167,12.97520833,13.44854167,13.06695833,13.06695833,10.554625,10.37045833,11.06220833,,0.145166667,,,,,,,,,0.186583333,,,0.1545
10.111625,9.743375,17.267125,16.17604167,14.72679167,14.412625,13.15345833,13.63870833,13.25495833,13.25495833,10.742375,10.554625,11.21720833,,0.131166667,,,,,,,,,0.188,,,0.155
10.25354167,9.878291667,17.508375,16.40095833,14.73195833,14.612375,13.32979167,13.82895833,13.439375,13.439375,10.93329167,10.742375,11.37204167,,0.141916667,,,,,,,,,0.184416667,,,0.154833333
10.387875,10.00054167,17.749375,16.636625,14.745625,14.81170833,13.506625,14.01770833,13.62704167,13.62704167,11.11545833,10.93329167,11.52545833,,0.134333333,,,,,,,,,0.187666667,,,0.153416667
10.53304167,10.12029167,17.99054167,16.87320833,14.75879167,15.01145833,13.685125,14.20470833,13.79954167,13.79954167,11.30395833,11.11545833,11.676625,,0.145166667,,,,,,,,,0.1725,,,0.151166667
10.66420833,10.25554167,18.231875,17.09120833,14.77845833,15.21129167,13.861625,14.39504167,13.97979167,13.97979167,11.48695833,11.30395833,11.828875,,0.131166667,,,,,,,,,0.18025,,,0.15225
10.81004167,10.37979167,18.473125,17.32495833,14.79595833,15.411625,14.03854167,14.586625,14.16820833,14.16820833,11.674625,11.48695833,11.98279167,,0.145833333,,,,,,,,,0.188416667,,,0.153916667
10.94029167,10.514125,18.71420833,17.53604167,14.86629167,15.60995833,14.217125,14.773625,14.35179167,14.35179167,11.861375,11.674625,12.13745833,,0.13025,,,,,,,,,0.183583333,,,0.154666667
11.08379167,10.639375,18.95570833,17.762625,15.019875,15.80870833,14.39379167,14.959875,14.53895833,14.53895833,12.05029167,11.861375,12.292375,,0.1435,,,,,,,,,0.187166667,,,0.154916667
11.21670833,10.77379167,19.196875,17.99879167,15.25579167,15.85379167,14.57070833,15.15004167,14.709875,14.709875,12.12545833,12.05029167,12.44720833,,0.132916667,,,,,,,,,0.170916667,,,0.154833333
11.36004167,10.91154167,19.43829167,18.23570833,15.48779167,16.007125,14.749125,15.341625,14.891625,14.891625,12.24095833,12.12545833,12.60104167,,0.143333333,,,,,,,,,0.18175,,,0.153833333
11.492875,11.045125,19.67970833,18.45729167,15.71879167,16.206875,14.92579167,15.52829167,15.07970833,15.07970833,12.32079167,12.24095833,12.75320833,,0.132833333,,,,,,,,,0.188083333,,,0.152166667
11.63629167,11.162375,19.92129167,18.691875,15.94145833,16.40645833,15.103125,15.715125,15.24970833,15.24970833,12.43179167,12.32079167,12.90495833,,0.143416667,,,,,,,,,0.17,,,0.15175
11.769125,11.292875,20.16329167,18.93429167,16.176625,16.60620833,15.28120833,15.90595833,15.43345833,15.43345833,12.615625,12.43179167,13.05770833,,0.132833333,,,,,,,,,0.18375,,,0.15275
11.91504167,11.43020833,20.404625,19.17179167,16.304875,16.80654167,15.45770833,16.097125,15.619875,15.619875,12.80379167,12.615625,13.21154167,,0.145916667,,,,,,,,,0.186416667,,,0.153833333
12.04529167,11.566625,20.64579167,19.38154167,16.31170833,17.005375,15.63604167,16.28829167,15.80779167,15.80779167,12.99495833,12.80379167,13.36570833,,0.13025,,,,,,,,,0.187916667,,,0.154166667
12.191125,11.70504167,20.88754167,19.396375,16.331625,17.20520833,15.81295833,16.476625,15.993125,15.993125,13.07445833,12.898875,13.51995833,,0.145833333,,,,,,,,,0.185333333,,,0.15425
12.32154167,11.84370833,21.12954167,19.63229167,16.35304167,17.40495833,15.990875,16.663125,16.181375,16.181375,13.18370833,12.99495833,13.67445833,,0.130416667,,,,,,,,,0.18825,,,0.1545
12.46745833,11.98204167,21.37070833,19.869625,16.41179167,17.605375,16.16904167,16.85370833,16.35229167,16.35229167,13.37404167,13.07445833,13.82895833,,0.145916667,,,,,,,,,0.170916667,,,0.1545
12.59795833,12.12029167,21.612625,20.08904167,16.51795833,17.80420833,16.34670833,17.04529167,16.534875,16.534875,13.54370833,13.18370833,13.98329167,,0.1305,,,,,,,,,0.182583333,,,0.154333333
12.74379167,12.25895833,21.85429167,20.323625,16.544875,18.003625,16.52395833,17.23154167,16.71929167,16.71929167,13.73154167,13.37404167,14.13704167,,0.145833333,,,,,,,,,0.184416667,,,0.15375
12.874375,12.39720833,22.096125,20.54345833,16.561625,18.20345833,16.70170833,17.41745833,16.90720833,16.90720833,13.91179167,13.54370833,14.29054167,,0.130583333,,,,,,,,,0.187916667,,,0.1535
13.01645833,12.53579167,22.33820833,20.77845833,16.584875,18.40304167,16.87904167,17.608125,17.080625,17.080625,14.09954167,13.73154167,14.444125,,0.142083333,,,,,,,,,0.173416667,,,0.153583333
13.150875,12.67420833,22.57979167,20.999875,16.61604167,18.60354167,17.05645833,17.800125,17.26095833,17.26095833,14.20395833,13.81170833,14.598125,,0.134416667,,,,,,,,,0.180333333,,,0.154
13.29804167,12.813125,22.82204167,21.23479167,16.762375,18.802375,17.23429167,17.988875,17.44595833,17.44595833,14.28620833,13.91179167,14.75195833,,0.147166667,,,,,,,,,0.185,,,0.153833333
13.42704167,12.951375,23.063625,21.47145833,16.84620833,19.001875,17.41120833,18.177375,17.633875,17.633875,14.47529167,14.09954167,14.905625,,0.129,,,,,,,,,0.187916667,,,0.153666667
13.57445833,13.089875,23.30554167,21.689625,17.058375,19.201625,17.58920833,18.368875,17.80829167,17.80829167,14.666375,14.20395833,15.05945833,,0.147416667,,,,,,,,,0.174416667,,,0.153833333
13.70370833,13.228375,23.54754167,21.92370833,17.07045833,19.40120833,17.76670833,18.557375,17.988125,17.988125,14.84945833,14.28620833,15.213375,,0.12925,,,,,,,,,0.179833333,,,0.153916667
13.845875,13.366375,23.789625,22.13770833,17.08179167,19.600875,17.944375,18.74429167,18.17504167,18.17504167,15.038125,14.47529167,15.36695833,,0.142166667,,,,,,,,,0.186916667,,,0.153583333
13.980125,13.504625,24.03170833,22.37129167,17.31779167,19.80045833,18.12220833,18.93504167,18.362875,18.362875,15.22820833,14.666375,15.52079167,,0.13425,,,,,,,,,0.187833333,,,0.153833333
14.123625,13.643375,24.27370833,22.584375,17.529625,20.00020833,18.30054167,19.126875,18.54845833,18.54845833,15.41879167,14.84945833,15.67479167,,0.1435,,,,,,,,,0.185583333,,,0.154
14.256625,13.78154167,24.51595833,22.816625,17.75504167,20.199875,18.47879167,19.31445833,18.73679167,18.73679167,15.49820833,15.038125,15.828375,,0.133,,,,,,,,,0.188333333,,,0.153583333
14.40470833,13.92029167,24.75820833,23.03370833,17.990875,20.39954167,18.65670833,19.50245833,18.91004167,18.91004167,15.597125,15.22820833,15.98179167,,0.148083333,,,,,,,,,0.17325,,,0.153416667
14.53304167,14.058625,25.000375,23.268875,18.22629167,20.59929167,18.834375,19.694125,19.091125,19.091125,15.786125,15.41879167,16.135375,,0.128333333,,,,,,,,,0.181083333,,,0.153583333
14.67920833,14.19654167,25.24270833,23.48479167,18.43879167,20.799125,19.01204167,19.880125,19.27945833,19.27945833,15.97220833,15.49820833,16.288625,,0.146166667,,,,,,,,,0.188333333,,,0.15325
14.80979167,14.33520833,25.484875,23.720125,18.505125,20.99854167,19.190125,20.064375,19.46304167,19.46304167,16.16145833,15.597125,16.44179167,,0.130583333,,,,,,,,,0.183583333,,,0.153166667
14.95670833,14.47329167,25.72720833,23.93970833,18.61770833,21.198375,19.368125,20.24345833,19.65104167,19.65104167,16.35279167,15.78604167,16.59495833,,0.146916667,,,,,,,,,0.188,,,0.153166667
15.085875,14.61195833,25.969625,24.17470833,18.62945833,21.39904167,19.54570833,20.42354167,19.82179167,19.82179167,16.53845833,15.97220833,16.74820833,,0.129166667,,,,,,,,,0.17075,,,0.15325
15.23420833,14.74970833,26.21220833,24.39979167,18.666625,21.598875,19.72354167,20.61220833,20.00370833,20.00370833,16.72770833,16.16145833,16.90154167,,0.148333333,,,,,,,,,0.181916667,,,0.153333333
15.36270833,14.888375,26.45454167,24.63570833,18.75170833,21.79854167,19.90145833,20.80154167,20.192125,20.192125,16.919125,16.265125,17.054875,,0.1285,,,,,,,,,0.188416667,,,0.153333333
15.508875,15.02629167,26.69720833,24.87354167,18.78745833,21.998125,20.07954167,20.99345833,20.364875,20.364875,17.10645833,16.35279167,17.208125,,0.146166667,,,,,,,,,0.17275,,,0.15325
15.63945833,15.16445833,26.93954167,25.10795833,18.90204167,22.19879167,20.25729167,21.18445833,20.54579167,20.54579167,17.29579167,16.53845833,17.361625,,0.130583333,,,,,,,,,0.180916667,,,0.1535
15.78129167,15.30204167,27.18220833,25.323125,19.13879167,22.39770833,20.43504167,21.36295833,20.73354167,20.73354167,17.48729167,16.72770833,17.514875,,0.141833333,,,,,,,,,0.18775,,,0.15325
15.91579167,15.44070833,27.424875,25.55829167,19.357125,22.59745833,20.61320833,21.54820833,20.919875,20.919875,17.66945833,16.919125,17.66779167,,0.1345,,,,,,,,,0.186333333,,,0.152916667
16.059625,15.57829167,27.667375,25.77479167,19.59029167,22.79729167,20.79104167,21.73504167,21.108375,21.108375,17.85804167,17.10645833,17.82054167,,0.143833333,,,,,,,,,0.1885,,,0.15275
16.19254167,15.71554167,27.910125,26.010125,19.800625,22.996625,20.96904167,21.92620833,21.28145833,21.28145833,18.035625,17.29579167,17.97304167,,0.132916667,,,,,,,,,0.173083333,,,0.1525
16.334625,15.851875,28.152875,26.228625,20.02545833,23.19679167,21.144625,22.11820833,21.45904167,21.45904167,18.22495833,17.48729167,18.125125,,0.142083333,,,,,,,,,0.177583333,,,0.152083333
16.46920833,15.98795833,28.39620833,26.46320833,20.261125,23.39729167,21.32320833,22.30779167,21.643125,21.643125,18.41020833,17.66945833,18.277125,,0.134583333,,,,,,,,,0.184083333,,,0.152
16.611375,16.12529167,28.638875,26.67879167,20.497875,23.59729167,21.50079167,22.497875,21.830375,21.830375,18.475125,17.85804167,18.42904167,,0.142166667,,,,,,,,,0.18725,,,0.151916667
16.74595833,16.26170833,28.88179167,26.913125,20.71570833,23.79795833,21.67904167,22.68995833,22.01920833,22.01920833,18.59879167,18.035625,18.581125,,0.134583333,,,,,,,,,0.188833333,,,0.152083333
16.88829167,16.40104167,29.124625,27.12570833,20.94929167,23.997625,21.856875,22.87954167,22.191625,22.191625,18.79070833,18.22495833,18.73295833,,0.142333333,,,,,,,,,0.172416667,,,0.151833333
17.022875,16.538875,29.36729167,27.355625,21.16054167,24.19654167,22.035375,23.06954167,22.368625,22.368625,18.971875,18.41020833,18.88479167,,0.134583333,,,,,,,,,0.177,,,0.151833333
17.165125,16.677375,29.61020833,27.591875,21.387125,24.242125,22.213125,23.261375,22.55179167,22.55179167,19.16020833,18.475125,19.03670833,,0.14225,,,,,,,,,0.183166667,,,0.151916667
17.29970833,16.81579167,29.85304167,27.826375,21.62329167,24.39629167,22.39154167,23.45370833,22.74045833,22.74045833,19.34004167,18.59879167,19.18870833,,0.134583333,,,,,,,,,0.188666667,,,0.152
17.441875,16.95454167,30.09620833,28.051875,21.860375,24.59629167,22.56945833,23.63904167,22.91145833,22.91145833,19.52829167,18.79070833,19.34054167,,0.142166667,,,,,,,,,0.171,,,0.151833333
17.576375,17.09254167,30.33904167,28.289375,22.08195833,24.79679167,22.74779167,23.82604167,23.095125,23.095125,19.717125,18.971875,19.492375,,0.1345,,,,,,,,,0.183666667,,,0.151833333
17.72970833,17.231375,30.58254167,28.52720833,22.316375,24.99645833,22.92579167,24.017625,23.28379167,23.28379167,19.90795833,19.16020833,19.64445833,,0.153333333,,,,,,,,,0.188666667,,,0.152083333
17.85345833,17.37020833,30.825375,28.757625,22.553625,25.19579167,23.10404167,24.20929167,23.46629167,23.46629167,19.974125,19.34004167,19.79620833,,0.12375,,,,,,,,,0.1825,,,0.15175
17.995625,17.50895833,31.068375,28.994375,22.778875,25.39520833,23.28220833,24.40104167,23.653875,23.653875,20.09420833,19.52829167,19.94779167,,0.142166667,,,,,,,,,0.187583333,,,0.151583333
18.130375,17.64745833,31.31170833,29.23254167,23.014875,25.59570833,23.46029167,24.58679167,23.826125,23.826125,20.28279167,19.717125,20.09970833,,0.13475,,,,,,,,,0.17225,,,0.151916667
